track_id,title,artist,total_artist_pop,total_track_pop,era
397016,Fiesta,JAY-Z,1420.865587515,71.668658427,00
398675,Southern Hospitality,Ludacris,1838.490345323,21.94561339,00
395045,I Just Wanna Love U (Give It 2 Me),JAY-Z,1420.865587515,71.300046217,00
388791,What's Your Fantasy,Ludacris,1838.490345323,33.501851447,00
390638,E.I.,Nelly,1717.443932815,53.722267117,00
384848,(Hot S**t) Country Grammar,Nelly,1717.443932815,109.621304654,00
67652,Big Pimpin',JAY-Z,1420.865587515,42.237840974,00
62958,Back That Thang Up,Lil Wayne,1610.411930615,10.00752183,00
1272848,Stay,Justin Bieber,3475.959119127,151.501200352,10
1270457,Bad Habits,Ed Sheeran,1808.760918294,147.648337188,10
1281326,Way 2 Sexy,Drake,5690.765479112,69.353134707,10
1281955,Shivers,Ed Sheeran,1808.760918294,39.678458663,10
1234012,Essence,Justin Bieber,3475.959119127,55.193371563,10
1270465,You Right,The Weeknd,2492.237448241,73.719457466,10
1195199,Save Your Tears,The Weeknd,2492.237448241,278.531184618,10
1281644,Knife Talk,Drake,5690.765479112,48.879887638999996,10
1281323,Girls Want Girls,Drake,5690.765479112,36.519595092,10
1289969,Moth To A Flame,The Weeknd,2492.237448241,2.219006624,10
1277118,Take My Breath,The Weeknd,2492.237448241,39.869358164,10
1254545,Ghost,Justin Bieber,3475.959119127,3.682764359,10
1252282,Leave The Door Open,Bruno Mars,3067.263908985,204.610979912,10
1288873,Bubbly,Drake,5690.765479112,4.037516177,10
1281324,Fair Trade,Drake,5690.765479112,25.956585437,10
1241966,Whole Lotta Money,Nicki Minaj,2667.072226268,10.230285429,10
1281289,No Friends In The Industry,Drake,5690.765479112,10.026739589,10
1281351,In The Bible,Drake,5690.765479112,9.957902587,10
1281358,Champagne Poetry,Drake,5690.765479112,14.396902898,10
1254525,Peaches,Justin Bieber,3475.959119127,179.491999545,10
1281357,TSU,Drake,5690.765479112,9.229437448999999,10
1281325,Love All,Drake,5690.765479112,7.658108106999999,10
1281356,N 2 Deep,Drake,5690.765479112,7.169055542,10
1281355,Pipe Down,Drake,5690.765479112,5.574079501,10
1281352,Papi's Home,Drake,5690.765479112,7.787006592,10
1283495,Wildest Dreams (Taylor's Version),Taylor Swift,2205.850832711,1.073741824,10
1281350,Race My Mind,Drake,5690.765479112,4.168634482,10
1281348,7am On Bridle Path,Drake,5690.765479112,4.602028398,10
1276058,Skate,Bruno Mars,3067.263908985,9.14433775,10
1281354,IMY2,Drake,5690.765479112,3.097567548,10
1281649,Yebba's Heartbreak,Drake,5690.765479112,2.716549782,10
1281353,Get Along Better,Drake,5690.765479112,2.2254429669999998,10
1281650,You Only Live Twice,Drake,5690.765479112,2.537414944,10
1281349,Fountains,Drake,5690.765479112,2.37380625,10
1281367,Fucking Fans,Drake,5690.765479112,1.564031349,10
1281364,The Remorse,Drake,5690.765479112,1.252332576,10
1272972,Motley Crew,Post Malone,2275.584454085,11.277662972,10
1179171,Blinding Lights,The Weeknd,2492.237448241,606.056796829,10
